side,entry_timestamp_ist,exit_timestamp_ist,entry_price,exit_price,quantity,pnl_usd,exit_reason
SELL,2026-03-04 19:38:00,2026-03-04 19:39:00,71471.0,71525.7,3.0,-2133.2999999998865,SL_HIT_ON_CLOSE
SELL,2026-03-19 20:29:00,2026-03-19 20:30:00,69450.1,69466.9,2.3600100000000337,-515.4261839996502,SL_HIT_ON_CLOSE
SELL,2026-03-24 21:25:00,2026-03-24 21:26:00,69985.7,69889.3,2.2053821448001387,2763.784903863367,TARGET_HIT_ON_CLOSE
