side,entry_timestamp_ist,exit_timestamp_ist,entry_price,exit_price,quantity,pnl_usd,exit_reason
BUY,2024-01-08 19:57:00,2024-01-08 19:58:00,45007.9,44998.6,3.0,-362.7000000001135,SL_HIT_ON_CLOSE
SELL,2024-01-19 20:31:00,2024-01-19 20:32:00,40958.1,40970.9,2.8911899999999657,-481.0940160001037,SL_HIT_ON_CLOSE
BUY,2024-01-24 18:36:00,2024-01-24 18:37:00,40027.0,40021.1,2.746861795199935,-210.68429969188696,SL_HIT_ON_CLOSE
BUY,2024-01-29 20:46:00,2024-01-29 20:47:00,42037.0,42057.4,2.683656505292368,711.7057052035867,TARGET_HIT_ON_CLOSE
